id,title,slug,biography
2,"Wally Lamb",wally-lamb,"<p>Wally Lamb's books are neither short nor simple; but like a James Patterson of emotions, he pulls readers in and doesn't let go. His affecting novels are marvels of imagination and empathy.</p>"
3,"Joyce Carol Oates",joyce-carol-oates,"<p>In a prolific and varied oeuvre that ranges over essays, plays, criticism, and several genres of fiction, Joyce Carol Oates has proved herself one of the most influential and important storytellers in the literary world.</p>"
4,"Bill McKibben",bill-mckibben,"<p><B>Bill McKibben</B> is the author of ten books, including <I>The End of Nature</I>, <I>The Age of Missing Information</I>, and <I>Enough&#58; Staying Human in an Engineered Age</I>. A former staff writer for <I>The New Yorker</I>, he writes regularly for <I>Harper&#8217;s</I>, <I>The Atlantic Monthly</I>, and <I>The New York Review of Books</I>, among other publications. He is a scholar in residence at Middlebury College and lives in Vermont with his wife, the writer Sue Halpern, and their daughter.</p>"
5,"Harold Bloom",harold-bloom,"<p>One of our most popular, respected, and controversial literary critics, Yale University professor Harold Bloom s books about, variously, Shakespeare, the Bible, and the classic literature are as erudite as they are accessible.</p>"
6,"Nikki Giovanni",nikki-giovanni,"<p><P> Poet, activist, mother, and professor, Nikki Giovanni is a three-time NAACP Image Award winner and the first recipient of the Rosa Parks Woman of Courage Award, and holds the Langston Hughes Medal for Outstanding Poetry. The author of twenty-seven books and a Grammy nominee for <i>The Nikki Giovanni Poetry Collection</i>, she is the University Distinguished Professor/English at Virginia Tech in Blacksburg, Virginia, and an Oprah Living Legend.<P></i></p>"
7,"Paul Auster",paul-auster,"<p>Paul Auster's unique novels are often like Chinese boxes, continually opening further to reveal new layers. He approaches his writing as he has approached his life, to an extent: as something of a nomad in a perpetually changing, mysterious landscape.</p>"
8,"Peter Straub",peter-straub,"<p><P>PETER STRAUB is the <i>New York Times</i> bestselling author of more than a dozen novels. Two of his most recent, <i>Lost Boy Lost Girl</i> and <i>In the Night Room,</i> are winners of the Bram Stoker Award. He lives in New York City.</p>"
9,"Phillip Lopate",phillip-lopate,"<p>Philip Lopate is the author of <i>Against Joie de Vivre</i>, <i>Bachelorhood</i>, <i>The Rug Merchant</i>, <i>Being with Children</i>, and <i>Confessions of Summer</i>. A recipient of Guggenheim and National Endowment for the Arts fellowships, his works have appeared in <i>Best American Essays</i>, <i>The Paris Review</i>, Pushcart Prize annuals, and many other publications. He lives in Brooklyn, New York, and is Adams Professor of English at Hofstra University.</p>"
10,"Ann Charters",ann-charters,"<p>Scholar, editor, and biographer of Beat generation writer Jack Kerouac -- she even penned the preface to his groundbreaking <I>On the Road</I> -- Ann Charters captures the passion and promise of one of the most culturally influential decades of the century.</p>"
11,"Walter Mosley",walter-mosley,"<p>A genre-bending author who can move from science-fiction to mysteries, Walter Mosley is perhaps best-known -- and loved -- for his 1940s and 50s noir crime novels starring the cool, complex detective Easy Rawlins.</p>"
12,"David Remnick",david-remnick,"<p><P>David Remnick has been the editor of <i>The New Yorker</i> since 1998. A staff writer for the magazine from 1992 to 1998, he was previously <i>The Washington Post's</i> correspondent in the Soviet Union. The author of several books, he was awarded the Pulitzer Prize and the George Polk Award for his 1994 book <i>Lenin's Tomb</i>. He lives in New York with his wife and children.</p>"
13,Sapphire,sapphire,"<p><P>Sapphire is the author of <b>American Dreams</b>, a collection of poetry which was cited by <i>Publishers Weekly</i> as, ""One of the strongest debut collections of the nineties."" <b>Push</b>, her novel, won the Book-of-the-Month Club Stephen Crane award for First Fiction, the Black Caucus of the American Library Association's First Novelist Award, and, in Great Britain, the Mind Book of the Year Award. <b>Push</b> was named by the <i>Village Voice</i> and <i>Time Out New York</i> as one of the top ten books of 1996. <b>Push</b> was nominated for an NAACP Image Award in the category of Outstanding Literary Work of Fiction. About her most recent book of poetry <i>Poet's and Writer's Magazine</i> wrote, ""With her soul on the line in each verse, her latest collection, <b>Black Wings & Blind Angels</b>, retains Sapphire's incendiary power to win hearts and singe minds.""<br>&#160;<br>Sapphire's work has appeared in <i>The New Yorker</i>, <i>The New York Times Magazine</i>, <i>The New York Times Book Review</i>, <i>The Black Scholar</i>, <i>Spin</i>, and <i>Bomb</i>. In February of 2007 Arizona State University presented <i>PUSHing Boundaries, PUSHing Art&#58; A Symposium on the Works of Sapphire</i>. Sapphire's work has been translated into eleven languages and has been adapted for stage in the United States and Europe. <i>Precious</i>, the film adaption of her novel, recently won the Grand Jury Prize and the Audience Awards in the U.S. dramatic competition at Sundance (2009).</p>"
14,"Lorrie Moore",lorrie-moore,"<p><br>Lorrie Moore is the author of the story collections Like Life and Self-Help, and the novels Who Will Run the Frog Hospital? and Anagrams. Her work has appeared in The New Yorker, The Best American Short Stories, and Prize Stories&#58; The O. Henry Awards. She is a professor of English at the University of Wisconsin in Madison. <br></p>"
15,"Cristina Garcia",cristina-garcia,"<p><P>Cristina Garc&#237;a was born in Havana and grew up in New York City. Her first novel, <b>Dreaming in Cuban,</b> was nominated for a National Book Award and has been widely translated. Ms. Garc&#237;a has been a Guggenheim Fellow, a Hodder Fellow at Princeton University, and the recipient of a Whiting Writers' Award. She lives in Los Angeles with her daughter, Pilar.</p>"
16,"Ilan Stavans",ilan-stavans,"<p>Ilan Stavans, editor, is the Lewis-Sebring Professor in Latin American and Latino Culture at Amherst College. His books include <I>The Hispanic Condition</I> and <I>On Borrowed Words&#58; A Memoir of Language.</I> He edited <I>Isaac Bashevis Singer&#58; Collected Stories</I>, volumes #149, #150, and #151 of The Library of America.</p>"
17,"Michael Chabon",michael-chabon,"<p>Although his novels and short stories have varied in setting -- from the 1940s New York of the Pulitzer Prize-winning <I>The Amazing Adventures of Kavalier & Clay</I> to the contemporary Pittsburgh of <I>The Mysteries of Pittsburgh</I> -- all of Michael Chabon s witty and understated books feature memorable, deftly-drawn characters trying to find their place in the world.</p>"
18,"Edwidge Danticat",edwidge-danticat,"Edwidge Danticat was nominated for the National Book Award in 1995 for her story collection, <i>Krik? Krak!</i> Her first novel, <i>Breath, Eyes, Memory</i>, was published to acclaim when she was twenty-five."
19,"Adam Gopnik",adam-gopnik,"<p><P>ROBERT ATWAN has been the series editor of <i>The Best American Essays</i> since its inception in 1986. He has edited numerous literary anthologies and written essays and reviews for periodicals nationwide.</p>"
20,"Honor Moore",honor-moore,"<p>Honor Moore is a poet and the author of The Bishop's Daughter. She lives in New York City and teaches at the New School and Columbia University.<br /></p>"
21,"Madeleine L'Engle",madeleine-l-engle,"<p>Best known as the writer of YA classics like <i>A Wrinkle in Time</i>, the prolific and eclectic Madeleine L'Engle penned adult fiction, poems, plays, memoirs, and religious meditations -- all infused with her trademark eloquence, imagination, and intellectual curiosity.</p>"
22,"Larry McMurtry",larry-mcmurtry,"<p>Larry McMurtry worked as a cowhand on his father's Texas cattle ranch until he was 22, but never aspired to be a rancher. Instead, he published his first novel, <i>Horseman, Pass By</i>, when he was just 25. More than two dozen novels later, there's still more to McMurtry than a typical western.</p>"
23,"Stewart O'Nan",stewart-o-nan,"<p>In 1996, the literary magazine <i>Granta</I> named Stewart O'Nan one of America's best young novelists -- an honor he has continued to justify in an impressive body of complex and stylistically diverse fiction.</p>"
24,"Barbara Kingsolver",barbara-kingsolver,"<p>Equally at home with poetry, novels, and nonfiction narratives, Barbara Kingsolver credits her careers in scientific writing and journalism with instilling in her a love of nature, a writer's discipline, and a strong sense of social justice.</p>"
25,"Caroline Kennedy",caroline-kennedy,"<strong>Caroline Kennedy</strong> is the editor of the <i class=""null1"">New York Times</i> bestselling <em>A Patriot's Handbook, Profiles in Courage for Our Time, The Best-Loved Poems of Jacqueline Kennedy Onassis, A Family of Poems,</em> <em>A Family Christmas</em>, and the coauthor of <em>The Right to Privacy</em> and <em>In Our Defense: The Bill of Rights in Action</em>. She serves as the Vice Chair of the Fund for Public Schools in New York City and President of the John F. Kennedy Library Foundation. She lives in New York City."
26,"Richard Wright",richard-wright,"<p>A trailblazing African-American novelist, playwright, and memoirist, Richard A. Wright brought the experiences of the twentieth-century ghetto into the realm of high art with his blockbuster 1940 novel <i>Native Son</i>. He went on to mix autobiography and fiction, and to become one of the most celebrated writers -- black or white -- of his era.</p>"
27,"Carmela Ciuraru",carmela-ciuraru,"<p><P>Carmela Ciuraru is the editor of the anthology <i>First Loves&#58; Poets Introduce the Essential Poems That Captivated and Inspired Them,</i> and the former editor of the<i> Journal of the Poetry Society of America</i>. A graduate of Columbia University's School of Journalism, she lives in New York City.</p>"
28,"Tony Hillerman",tony-hillerman,"<p>Tony Hillerman's experience as a journalist and a lover of Native American culture lent an unmistakable authenticity to his mysteries. In addition to his popular series starring Navajo Tribal Police detectives Chee and Leaphorn, he wrote standalone novels, essays about the Southwest, and a warmly reviewed autobiography (<i>Seldom Disappointed</i>) that revealed not only his talent, but his bravery as a soldier in World War II. He died in 2008 at the age of 83.</p>"
29,"Sue Miller",sue-miller,"<p>Sue Miller is an expert in limning the pain of endings, but if this were the extent of her talents, she probably would not be as successful as she is. In Miller's books, one broken relationship often leads to the development of another. Her stories may not offer pat answers and perfect love stories, but readers find something more rewarding in the end.</p>"
30,"Jay Atkinson",jay-atkinson,"<p><P>Jay Atkinson is the author of two novels, three narrative nonfiction books, and a collection of stories. His work has appeared in the <i>New York Times, Men's Health,</i> the Boston Globe, and elsewhere. He teaches journalism at Boston University.</p>"
31,"E. Lynn Harris",e-lynn-harris,"<p>How to categorize E. Lynn Harris? An African-American novelist? A gay novelist? A literary romance writer? Nothing quite fits, but to Harris s fans, his bestselling novels belong in a genre of their own: one in which the characters are as difficult and complex as their problems, and the solutions as bittersweet and resonant as they often are in life.</p>"
32,"Laura Furman",laura-furman,"<p>Laura Furman's work has appeared in <i>The New Yorker</i>, <i>Vanity Fair</i>, <i>Ploughshares</i>, <i>The Yale Review</i>, and other magazines. She is the founding editor of the highly regarded <i>American Short Fiction</i> (three-time finalist for the American Magazine Award). A professor of English at the University of Texas at Austin, she teaches in the graduate James A. Michener Center for writers. She lives in Austin.</p>"
